699553,0.3405604064,0.3626360595,0.3344977200,0.3726989031,
708753,0.3406854272,0.3626735806,0.3344852328,0.3727113903,
717954,0.3406603932,0.3626735806,0.3344852328,0.3727238774,
727156,0.3406854272,0.3626860976,0.3344977200,0.3727738857,
736354,0.3407104313,0.3626985848,0.3345227242,0.3727238774,
745558,0.3406603932,0.3626735806,0.3345227242,0.3727738857,
754763,0.3406979144,0.3626985848,0.3345102370,0.3725988865,
763961,0.3406854272,0.3626735806,0.3344977200,0.3727238774,
773162,0.3406979144,0.3626485765,0.3344477117,0.3727363944,
782362,0.3406104147,0.3626610637,0.3344727159,0.3726989031,
791564,0.3406729102,0.3626735806,0.3344977200,0.3726863861,
800764,0.3406854272,0.3626610637,0.3344727159,0.3727113903,
809966,0.3406979144,0.3626985848,0.3344977200,0.3727363944,
819167,0.3406854272,0.3626360595,0.3344727159,0.3727363944,
828373,0.3406979144,0.3626985848,0.3344102204,0.3726488948,
837570,0.3406603932,0.3626610637,0.3343977332,0.3727489114,
846772,0.3406854272,0.3627110720,0.3344977200,0.3727238774,
855972,0.3406729102,0.3626735806,0.3344852328,0.3727363944,
865174,0.3406104147,0.3626360595,0.3344977200,0.3727489114,
874369,0.3406979144,0.3626735806,0.3344727159,0.3726989031,
883575,0.3405979276,0.3626610637,0.3345102370,0.3727238774,
892777,0.3407104313,0.3627110720,0.3344727159,0.3727238774,
901978,0.3406729102,0.3626735806,0.3344852328,0.3727363944,
911178,0.3406729102,0.3626485765,0.3345102370,0.3727113903,
920380,0.3406979144,0.3626110852,0.3345102370,0.3727238774,
929582,0.3406729102,0.3626860976,0.3344977200,0.3726989031,
938789,0.3406854272,0.3626485765,0.3344601989,0.3727489114,
947983,0.3406354189,0.3626610637,0.3345102370,0.3727613986,
957185,0.3406603932,0.3626735806,0.3344852328,0.3727489114,
966386,0.3406104147,0.3626610637,0.3345227242,0.3727238774,
975587,0.3406854272,0.3626985848,0.3345102370,0.3727613986,
984788,0.3406854272,0.3626735806,0.3344852328,0.3727363944,
